web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,title2,data7,data8,data9,data10,data11,data12,data13,data14,data15,image
"1772557614-1","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Sayantan Basu","Thank You very Much Sir ...may your visa process go well and ALL THE BEST FOR YOUR SUCCESSFULL CAREER!","a year ago","Absolutely lovely place. I went there for my UK Visa Passport size photo but he does many things other than that. Very professional and consults with you every step to get the best results at the end. I would definitely recommend his studio for any photography related work. He is polite and does the job very quickly.","Local Guide · 18 reviews · 65 photos","a year ago","Share","Response from the owner","Like","","","","","","","","","https://lh3.googleusercontent.com/a-/ALV-UjWNRSwKLYwnSGbuCkSSmtXFc4pg3Vf7JwrL2QZcastNt2fjXObJ-Q=w41-h41-p-rp-mo-ba3-br100"
"1772557614-2","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Ravi R","Thank You Sir ...","a year ago","Good quality output. Customer friendly behavior. Keeps up committed timings. Totally very good place to visit for our photography needs.","11 reviews","a year ago","Share","Response from the owner","Like","","","","","","","","","https://lh3.googleusercontent.com/a/ACg8ocKmeWe0RYktgN4VjMrOn3kEu6mjNLwNHPpZgMiJTQtD5uPmHA=w41-h41-p-rp-mo-br100"
"1772557614-3","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Neha Bhate","Thank you Mam....","3 years ago","I was in search for a good photo studio and wanted to print and frame photos for a special occasion. The only thing was i needed it in 24hrs.. to my surprise the owner, Mr. Ravi Kanth responded so quickly... and all this over just a phone conversation and email. The frames were delivered to me before time...! Excellent service!!","Local Guide · 13 reviews · 28 photos","3 years ago","Share","Response from the owner","Like","","","","","","","","","https://lh3.googleusercontent.com/a-/ALV-UjWNlbZHlFQ2dcpDfxErfAKHniAkwq9EyhFSFXyGnoLbQbDLtcCp=w41-h41-p-rp-mo-ba3-br100"
"1772557614-4","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Flying Sky","Thank a lot Sir ! we are working on it...!","6 years ago","Courteous person. Nice photography (took passport photos for my daughters!) It's cool to get a free high resolution soft copy to your email. I really like the overall experience. It took about 15-20 minutes - a little faster could really make it a great experience!!","1 review","6 years ago","Share","Response from the owner","Like","","","","","","","","","https://lh3.googleusercontent.com/a/ACg8ocL6esheBpRB1X_VmqtXhk3921m2r7Gz-Jso2xFHltKFat6KvQ=w41-h41-p-rp-mo-br100"
"1772557614-5","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Bindu Madhavi Madabattula","Thank You Mam... All the best...","2 years ago","Had a very good experience with Shree RK Studio...
We have taken the photos for visa. Within 15 minutes, our work is done.
Received an excellent service.
I recommend this studio.","1 review","2 years ago","Share","Response from the owner","Like","","","","","","","","","https://lh3.googleusercontent.com/a/ACg8ocJ9fUXdrFMmzLYHrY0ekH5itqsw0x0_AMsgdyunYrH_juU5=w41-h41-p-rp-mo-br100"
"1772557614-6","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Ravi Teja","Thank you very much Sir... And  best wish for ur VISA PROCESSING.....","4 years ago","Great Experience. It took hardly 15min(including editing) to get the passport photographs for 2 people. I highly recommend this studio if you want to get your passport photographs in minutes. They can get copies in all formats(visa). They have sent me the soft copy also to my email.","Local Guide · 99 reviews · 93 photos","4 years ago","Share","Response from the owner","Like","","","","","","","","1","https://lh3.googleusercontent.com/a-/ALV-UjXCQx0sgYOFjgJxI9x_M4yPbVPOswPUNeNqpNpFKww4JLnqe85e=w41-h41-p-rp-mo-ba4-br100"
"1772557614-7","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Nefertiti Patell","Thank you soo much..","4 years ago","The photographer Mr. Ravi Kanth is very good at his craft. He took excellent photos of my family and me. He was extremely patient with my toddler who didn't want her picture taken. I would definitely recommend him and his photo studio.","Local Guide · 25 reviews · 3 photos","4 years ago","Share","Response from the owner","Like","","","","","","","","1","https://lh3.googleusercontent.com/a/ACg8ocIBn0yryfWUDd-aoUhm0rAEIboGigcgMNbS1CNCfxXP9HXXKJ4M=w41-h41-p-rp-mo-ba4-br100"
"1772557614-8","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Gowri Nandan","Thank You Sir!","2 years ago","Found this awesome photo studio in Lingampalli—total hidden gem! Ravigaru, the photographer, is super nice and keeps it real. Prices are totally fair, and you get stunning photos without breaking the bank. Best place for beautiful pics on a budget!","Local Guide · 35 reviews · 36 photos","2 years ago","Share","Response from the owner","Like","","","","","","","","","https://lh3.googleusercontent.com/a-/ALV-UjWexrJM3sef0tfGUMM8-XK_lD_RPXxpGPXHVtnlMEJ8-7fMYALl=w41-h41-p-rp-mo-ba3-br100"
"1772557614-9","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Madly Arnab","Thank you for your appreciation...","7 years ago","Very kind and humble behavior. Highly professional in photography and editing. I can say, I got the best passport sized photo experience of my life from this studio. …","Local Guide · 70 reviews · 837 photos","7 years ago","Share","Response from the owner","Like","","","","","","","","","https://lh3.googleusercontent.com/a-/ALV-UjXmRB9IlvzbSHE4SszHAF1QXO927KxJNBFKJcGkeKtmSomWUe0bBQ=w41-h41-p-rp-mo-ba5-br100"
"1772557614-10","https://www.google.com/maps/place/Shree+RK+Photo+Studio/@17.4864296,78.3097237,15z/data=!4m8!3m7!1s0x3bcb99cd87dc821b:0xd93c248339ab3919!8m2!3d17.4781785!4d78.3197844!9m1!1b1!16s%2Fg%2F1tdx2ldy?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","Sandeep Anumula","Thank You Sir ...! All the best!","4 years ago","For sure will recommend this place to get your passport photos required for various countries. Very professional and friendly, understands the requirement and provides suggestions as well. I got my work done with in 30 mins on 10/08/2021 and my visa got approved without any remarks on 11/08/2021. Thanks a lot for the valuable help.","Local Guide · 25 reviews · 7 photos","4 years ago","Share","Response from the owner","Like","","","","","","","","","https://lh3.googleusercontent.com/a-/ALV-UjUF1c73p-KmueixkIC2OgD7FTtAZlH8HHZQcmyfAtFOC2K8cCo7Ag=w41-h41-p-rp-mo-ba3-br100"
